"","Year","Award","Nominee","Winner"
"8256","1944","ART DIRECTION","Casanova Brown","NO"
"8257","1944","ART DIRECTION","Gaslight","YES"
"8258","1944","ART DIRECTION","Laura","NO"
"8259","1944","ART DIRECTION","No Time for Love","NO"
"8260","1944","ART DIRECTION","Since You Went Away","NO"
"8261","1944","ART DIRECTION","Song of the Open Road[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. Nomination withdrawn by production company.]","NO"
"8262","1944","ART DIRECTION","Step Lively","NO"
"8263","1944","ART DIRECTION","The Climax","NO"
"8264","1944","ART DIRECTION","Cover Girl","NO"
"8265","1944","ART DIRECTION","The Desert Song","NO"
"8266","1944","ART DIRECTION","Kismet","NO"
"8267","1944","ART DIRECTION","Lady in the Dark","NO"
"8268","1944","ART DIRECTION","The Princess and the Pirate","NO"
"8269","1944","ART DIRECTION","Wilson","YES"
"8270","1944","CINEMATOGRAPHY","Double Indemnity","NO"
"8271","1944","CINEMATOGRAPHY","Dragon Seed","NO"
"8272","1944","CINEMATOGRAPHY","Gaslight","NO"
"8273","1944","CINEMATOGRAPHY","Going My Way","NO"
"8274","1944","CINEMATOGRAPHY","Laura","YES"
"8275","1944","CINEMATOGRAPHY","Lifeboat","NO"
"8276","1944","CINEMATOGRAPHY","Since You Went Away","NO"
"8277","1944","CINEMATOGRAPHY","Thirty Seconds over Tokyo","NO"
"8278","1944","CINEMATOGRAPHY","The Uninvited","NO"
"8279","1944","CINEMATOGRAPHY","The White Cliffs of Dover","NO"
"8280","1944","CINEMATOGRAPHY","Cover Girl","NO"
"8281","1944","CINEMATOGRAPHY","Home in Indiana","NO"
"8282","1944","CINEMATOGRAPHY","Kismet","NO"
"8283","1944","CINEMATOGRAPHY","Lady in the Dark","NO"
"8284","1944","CINEMATOGRAPHY","Meet Me in St. Louis","NO"
"8285","1944","CINEMATOGRAPHY","Wilson","YES"
"8286","1944","DIRECTING","Double Indemnity","NO"
"8287","1944","DIRECTING","Going My Way","YES"
"8288","1944","DIRECTING","Laura","NO"
"8289","1944","DIRECTING","Lifeboat","NO"
"8290","1944","DIRECTING","Wilson","NO"
"8296","1944","FILM EDITING","Going My Way","NO"
"8297","1944","FILM EDITING","Janie","NO"
"8298","1944","FILM EDITING","None but the Lonely Heart","NO"
"8299","1944","FILM EDITING","Since You Went Away","NO"
"8300","1944","FILM EDITING","Wilson","YES"
"8301","1944","Music (Scoring)","Address Unknown","NO"
"8302","1944","Music (Scoring)","The Adventures of Mark Twain","NO"
"8303","1944","Music (Scoring)","The Bridge of San Luis Rey","NO"
"8304","1944","Music (Scoring)","Casanova Brown","NO"
"8305","1944","Music (Scoring)","Christmas Holiday","NO"
"8306","1944","Music (Scoring)","Double Indemnity","NO"
"8307","1944","Music (Scoring)","The Fighting Seabees","NO"
"8308","1944","Music (Scoring)","The Hairy Ape","NO"
"8309","1944","Music (Scoring)","It Happened Tomorrow","NO"
"8310","1944","Music (Scoring)","Jack London","NO"
"8311","1944","Music (Scoring)","Kismet","NO"
"8312","1944","Music (Scoring)","None but the Lonely Heart","NO"
"8313","1944","Music (Scoring)","The Princess and the Pirate","NO"
"8314","1944","Music (Scoring)","Since You Went Away","YES"
"8315","1944","Music (Scoring)","Summer Storm","NO"
"8316","1944","Music (Scoring)","Three Russian Girls","NO"
"8317","1944","Music (Scoring)","Up in Mabel's Room","NO"
"8318","1944","Music (Scoring)","Voice in the Wind","NO"
"8319","1944","Music (Scoring)","Wilson","NO"
"8320","1944","Music (Scoring)","Woman of the Town","NO"
"8321","1944","Music (Scoring)","Brazil","NO"
"8322","1944","Music (Scoring)","Cover Girl","YES"
"8323","1944","Music (Scoring)","Higher and Higher","NO"
"8324","1944","Music (Scoring)","Hollywood Canteen","NO"
"8325","1944","Music (Scoring)","Irish Eyes Are Smiling","NO"
"8326","1944","Music (Scoring)","Knickerbocker Holiday","NO"
"8327","1944","Music (Scoring)","Lady in the Dark","NO"
"8328","1944","Music (Scoring)","Lady, Let's Dance","NO"
"8329","1944","Music (Scoring)","Meet Me in St. Louis","NO"
"8330","1944","Music (Scoring)","The Merry Monahans","NO"
"8331","1944","Music (Scoring)","Minstrel Man","NO"
"8332","1944","Music (Scoring)","Sensations of 1945","NO"
"8333","1944","Music (Scoring)","Song of the Open Road","NO"
"8334","1944","Music (Scoring)","Up in Arms","NO"
"8335","1944","Music (Song)","Higher and Higher","NO"
"8336","1944","Music (Song)","Follow the Boys","NO"
"8337","1944","Music (Song)","Sweet and Lowdown","NO"
"8338","1944","Music (Song)","Cover Girl","NO"
"8339","1944","Music (Song)","Up in Arms","NO"
"8340","1944","Music (Song)","Minstrel Man","NO"
"8341","1944","Music (Song)","Brazil","NO"
"8342","1944","Music (Song)","Lady, Let's Dance","NO"
"8343","1944","Music (Song)","Hollywood Canteen","NO"
"8344","1944","Music (Song)","Going My Way","YES"
"8345","1944","Music (Song)","Song of the Open Road","NO"
"8346","1944","Music (Song)","Meet Me in St. Louis","NO"
"8347","1944","BEST PICTURE","Double Indemnity","NO"
"8348","1944","BEST PICTURE","Gaslight","NO"
"8349","1944","BEST PICTURE","Going My Way","YES"
"8350","1944","BEST PICTURE","Since You Went Away","NO"
"8351","1944","BEST PICTURE","Wilson","NO"
"8367","1944","SOUND MIXING","Brazil","NO"
"8368","1944","SOUND MIXING","Casanova Brown","NO"
"8369","1944","SOUND MIXING","Cover Girl","NO"
"8370","1944","SOUND MIXING","Double Indemnity","NO"
"8371","1944","SOUND MIXING","His Butler's Sister","NO"
"8372","1944","SOUND MIXING","Hollywood Canteen","NO"
"8373","1944","SOUND MIXING","It Happened Tomorrow","NO"
"8374","1944","SOUND MIXING","Kismet","NO"
"8375","1944","SOUND MIXING","Music in Manhattan","NO"
"8376","1944","SOUND MIXING","Voice in the Wind","NO"
"8377","1944","SOUND MIXING","Wilson","YES"
"8378","1944","Writing","Going My Way","YES"
"8379","1944","Writing","A Guy Named Joe","NO"
"8380","1944","Writing","Lifeboat","NO"
"8381","1944","Writing","None Shall Escape","NO"
"8382","1944","Writing","The Sullivans","NO"
"8383","1944","Writing","Hail the Conquering Hero","NO"
"8384","1944","Writing","The Miracle of Morgan's Creek","NO"
"8385","1944","Writing","Two Girls and a Sailor","NO"
"8386","1944","Writing","Wilson","YES"
"8387","1944","Writing","Wing and a Prayer","NO"
"8388","1944","Writing","Double Indemnity","NO"
"8389","1944","Writing","Gaslight","NO"
"8390","1944","Writing","Going My Way","YES"
"8391","1944","Writing","Laura","NO"
"8392","1944","Writing","Meet Me in St. Louis","NO"
"8414","1943","ACTOR IN A LEADING ROLE","Casablanca ","NO"
"8415","1943","ACTOR IN A LEADING ROLE","For Whom the Bell Tolls ","NO"
"8416","1943","ACTOR IN A LEADING ROLE","Watch on the Rhine ","YES"
"8417","1943","ACTOR IN A LEADING ROLE","Madame Curie ","NO"
"8418","1943","ACTOR IN A LEADING ROLE","The Human Comedy ","NO"
"8419","1943","ACTOR IN A SUPPORTING ROLE","The Song of Bernadette ","NO"
"8420","1943","ACTOR IN A SUPPORTING ROLE","The More the Merrier ","YES"
"8421","1943","ACTOR IN A SUPPORTING ROLE","Sahara ","NO"
"8422","1943","ACTOR IN A SUPPORTING ROLE","Casablanca ","NO"
"8423","1943","ACTOR IN A SUPPORTING ROLE","For Whom the Bell Tolls ","NO"
"8424","1943","ACTRESS IN A LEADING ROLE","The More the Merrier ","NO"
"8425","1943","ACTRESS IN A LEADING ROLE","For Whom the Bell Tolls ","NO"
"8426","1943","ACTRESS IN A LEADING ROLE","The Constant Nymph ","NO"
"8427","1943","ACTRESS IN A LEADING ROLE","Madame Curie ","NO"
"8428","1943","ACTRESS IN A LEADING ROLE","The Song of Bernadette ","YES"
"8429","1943","ACTRESS IN A SUPPORTING ROLE","The Song of Bernadette ","NO"
"8430","1943","ACTRESS IN A SUPPORTING ROLE","So Proudly We Hail! ","NO"
"8431","1943","ACTRESS IN A SUPPORTING ROLE","For Whom the Bell Tolls ","YES"
"8432","1943","ACTRESS IN A SUPPORTING ROLE","The Song of Bernadette ","NO"
"8433","1943","ACTRESS IN A SUPPORTING ROLE","Watch on the Rhine ","NO"
"8434","1943","ART DIRECTION","Five Graves to Cairo","NO"
"8435","1943","ART DIRECTION","Flight for Freedom","NO"
"8436","1943","ART DIRECTION","Madame Curie","NO"
"8437","1943","ART DIRECTION","Mission to Moscow","NO"
"8438","1943","ART DIRECTION","The North Star","NO"
"8439","1943","ART DIRECTION","The Song of Bernadette","YES"
"8440","1943","ART DIRECTION","For Whom the Bell Tolls","NO"
"8441","1943","ART DIRECTION","The Gang's All Here","NO"
"8442","1943","ART DIRECTION","Phantom of the Opera","YES"
"8443","1943","ART DIRECTION","This Is the Army","NO"
"8444","1943","ART DIRECTION","Thousands Cheer","NO"
"8445","1943","CINEMATOGRAPHY","Air Force","NO"
"8446","1943","CINEMATOGRAPHY","Casablanca","NO"
"8447","1943","CINEMATOGRAPHY","Corvette K-225","NO"
"8448","1943","CINEMATOGRAPHY","Five Graves to Cairo","NO"
"8449","1943","CINEMATOGRAPHY","The Human Comedy","NO"
"8450","1943","CINEMATOGRAPHY","Madame Curie","NO"
"8451","1943","CINEMATOGRAPHY","The North Star","NO"
"8452","1943","CINEMATOGRAPHY","Sahara","NO"
"8453","1943","CINEMATOGRAPHY","So Proudly We Hail!","NO"
"8454","1943","CINEMATOGRAPHY","The Song of Bernadette","YES"
"8455","1943","CINEMATOGRAPHY","For Whom the Bell Tolls","NO"
"8456","1943","CINEMATOGRAPHY","Heaven Can Wait","NO"
"8457","1943","CINEMATOGRAPHY","Hello, Frisco, Hello","NO"
"8458","1943","CINEMATOGRAPHY","Lassie Come Home","NO"
"8459","1943","CINEMATOGRAPHY","Phantom of the Opera","YES"
"8460","1943","CINEMATOGRAPHY","Thousands Cheer","NO"
"8461","1943","DIRECTING","Casablanca","YES"
"8462","1943","DIRECTING","Heaven Can Wait","NO"
"8463","1943","DIRECTING","The Human Comedy","NO"
"8464","1943","DIRECTING","The More the Merrier","NO"
"8465","1943","DIRECTING","The Song of Bernadette","NO"
"8495","1943","FILM EDITING","Air Force","YES"
"8496","1943","FILM EDITING","Casablanca","NO"
"8497","1943","FILM EDITING","Five Graves to Cairo","NO"
"8498","1943","FILM EDITING","For Whom the Bell Tolls","NO"
"8499","1943","FILM EDITING","The Song of Bernadette","NO"
"8500","1943","Music (Scoring)","The Amazing Mrs. Holliday","NO"
"8501","1943","Music (Scoring)","Casablanca","NO"
"8502","1943","Music (Scoring)","Commandos Strike at Dawn","NO"
"8503","1943","Music (Scoring)","The Fallen Sparrow","NO"
"8504","1943","Music (Scoring)","For Whom the Bell Tolls","NO"
"8505","1943","Music (Scoring)","Hangmen Also Die","NO"
"8506","1943","Music (Scoring)","Hi Diddle Diddle","NO"
"8507","1943","Music (Scoring)","In Old Oklahoma","NO"
"8508","1943","Music (Scoring)","Johnny Come Lately","NO"
"8509","1943","Music (Scoring)","The Kansan","NO"
"8510","1943","Music (Scoring)","Lady of Burlesque","NO"
"8511","1943","Music (Scoring)","Madame Curie","NO"
"8512","1943","Music (Scoring)","The Moon and Sixpence","NO"
"8513","1943","Music (Scoring)","The North Star","NO"
"8514","1943","Music (Scoring)","The Song of Bernadette","YES"
"8515","1943","Music (Scoring)","Victory through Air Power","NO"
"8516","1943","Music (Scoring)","Coney Island","NO"
"8517","1943","Music (Scoring)","Hit Parade of 1943","NO"
"8518","1943","Music (Scoring)","Phantom of the Opera","NO"
"8519","1943","Music (Scoring)","Saludos Amigos","NO"
"8520","1943","Music (Scoring)","The Sky's the Limit","NO"
"8521","1943","Music (Scoring)","Something to Shout About","NO"
"8522","1943","Music (Scoring)","Stage Door Canteen","NO"
"8523","1943","Music (Scoring)","Star Spangled Rhythm","NO"
"8524","1943","Music (Scoring)","This Is the Army","YES"
"8525","1943","Music (Scoring)","Thousands Cheer","NO"
"8526","1943","Music (Song)","Hit Parade of 1943","NO"
"8527","1943","Music (Song)","Cabin in the Sky","NO"
"8528","1943","Music (Song)","The Sky's the Limit","NO"
"8529","1943","Music (Song)","Saludos Amigos","NO"
"8530","1943","Music (Song)","Hers to Hold","NO"
"8531","1943","Music (Song)","Star Spangled Rhythm","NO"
"8532","1943","Music (Song)","Thank Your Lucky Stars","NO"
"8533","1943","Music (Song)","Stage Door Canteen","NO"
"8534","1943","Music (Song)","Something to Shout About","NO"
"8535","1943","Music (Song)","Hello, Frisco, Hello","YES"
"8536","1943","BEST PICTURE","Casablanca","YES"
"8537","1943","BEST PICTURE","For Whom the Bell Tolls","NO"
"8538","1943","BEST PICTURE","Heaven Can Wait","NO"
"8539","1943","BEST PICTURE","The Human Comedy","NO"
"8540","1943","BEST PICTURE","In Which We Serve","NO"
"8541","1943","BEST PICTURE","Madame Curie","NO"
"8542","1943","BEST PICTURE","The More the Merrier","NO"
"8543","1943","BEST PICTURE","The Ox-Bow Incident","NO"
"8544","1943","BEST PICTURE","The Song of Bernadette","NO"
"8545","1943","BEST PICTURE","Watch on the Rhine","NO"
"8561","1943","SOUND MIXING","Hangmen Also Die","NO"
"8562","1943","SOUND MIXING","In Old Oklahoma","NO"
"8563","1943","SOUND MIXING","Madame Curie","NO"
"8564","1943","SOUND MIXING","The North Star","NO"
"8565","1943","SOUND MIXING","Phantom of the Opera","NO"
"8566","1943","SOUND MIXING","Riding High","NO"
"8567","1943","SOUND MIXING","Sahara","NO"
"8568","1943","SOUND MIXING","Saludos Amigos","NO"
"8569","1943","SOUND MIXING","So This Is Washington","NO"
"8570","1943","SOUND MIXING","The Song of Bernadette","NO"
"8571","1943","SOUND MIXING","This Is the Army","NO"
"8572","1943","SOUND MIXING","This Land Is Mine","YES"
"8573","1943","Writing","Action in the North Atlantic","NO"
"8574","1943","Writing","Destination Tokyo","NO"
"8575","1943","Writing","The Human Comedy","YES"
"8576","1943","Writing","The More the Merrier","NO"
"8577","1943","Writing","Shadow of a Doubt","NO"
"8578","1943","Writing","Air Force","NO"
"8579","1943","Writing","In Which We Serve","NO"
"8580","1943","Writing","The North Star","NO"
"8581","1943","Writing","Princess O'Rourke","YES"
"8582","1943","Writing","So Proudly We Hail!","NO"
"8583","1943","Writing","Casablanca","YES"
"8584","1943","Writing","Holy Matrimony","NO"
"8585","1943","Writing","The More the Merrier","NO"
"8586","1943","Writing","The Song of Bernadette","NO"
"8587","1943","Writing","Watch on the Rhine","NO"
"8602","1942","ACTOR IN A LEADING ROLE","Yankee Doodle Dandy ","YES"
"8603","1942","ACTOR IN A LEADING ROLE","Random Harvest ","NO"
"8604","1942","ACTOR IN A LEADING ROLE","The Pride of the Yankees ","NO"
"8605","1942","ACTOR IN A LEADING ROLE","Mrs. Miniver ","NO"
"8606","1942","ACTOR IN A LEADING ROLE","The Pied Piper ","NO"
"8607","1942","ACTOR IN A SUPPORTING ROLE","Wake Island ","NO"
"8608","1942","ACTOR IN A SUPPORTING ROLE","Johnny Eager ","YES"
"8609","1942","ACTOR IN A SUPPORTING ROLE","Yankee Doodle Dandy ","NO"
"8610","1942","ACTOR IN A SUPPORTING ROLE","Tortilla Flat ","NO"
"8611","1942","ACTOR IN A SUPPORTING ROLE","Mrs. Miniver ","NO"
"8612","1942","ACTRESS IN A LEADING ROLE","Now, Voyager ","NO"
"8613","1942","ACTRESS IN A LEADING ROLE","Mrs. Miniver ","YES"
"8614","1942","ACTRESS IN A LEADING ROLE","Woman of the Year ","NO"
"8615","1942","ACTRESS IN A LEADING ROLE","My Sister Eileen ","NO"
"8616","1942","ACTRESS IN A LEADING ROLE","The Pride of the Yankees ","NO"
"8617","1942","ACTRESS IN A SUPPORTING ROLE","Now, Voyager ","NO"
"8618","1942","ACTRESS IN A SUPPORTING ROLE","The Magnificent Ambersons ","NO"
"8619","1942","ACTRESS IN A SUPPORTING ROLE","Random Harvest ","NO"
"8620","1942","ACTRESS IN A SUPPORTING ROLE","Mrs. Miniver ","NO"
"8621","1942","ACTRESS IN A SUPPORTING ROLE","Mrs. Miniver ","YES"
"8622","1942","ART DIRECTION","George Washington Slept Here","NO"
"8623","1942","ART DIRECTION","The Magnificent Ambersons","NO"
"8624","1942","ART DIRECTION","The Pride of the Yankees","NO"
"8625","1942","ART DIRECTION","Random Harvest","NO"
"8626","1942","ART DIRECTION","The Shanghai Gesture","NO"
"8627","1942","ART DIRECTION","Silver Queen","NO"
"8628","1942","ART DIRECTION","The Spoilers","NO"
"8629","1942","ART DIRECTION","Take a Letter, Darling","NO"
"8630","1942","ART DIRECTION","The Talk of the Town","NO"
"8631","1942","ART DIRECTION","This above All","YES"
"8632","1942","ART DIRECTION","Arabian Nights","NO"
"8633","1942","ART DIRECTION","Captains of the Clouds","NO"
"8634","1942","ART DIRECTION","Jungle Book","NO"
"8635","1942","ART DIRECTION","My Gal Sal","YES"
"8636","1942","ART DIRECTION","Reap the Wild Wind","NO"
"8637","1942","CINEMATOGRAPHY","Kings Row","NO"
"8638","1942","CINEMATOGRAPHY","The Magnificent Ambersons","NO"
"8639","1942","CINEMATOGRAPHY","Mrs. Miniver","YES"
"8640","1942","CINEMATOGRAPHY","Moontide","NO"
"8641","1942","CINEMATOGRAPHY","The Pied Piper","NO"
"8642","1942","CINEMATOGRAPHY","The Pride of the Yankees","NO"
"8643","1942","CINEMATOGRAPHY","Take a Letter, Darling","NO"
"8644","1942","CINEMATOGRAPHY","The Talk of the Town","NO"
"8645","1942","CINEMATOGRAPHY","Ten Gentlemen from West Point","NO"
"8646","1942","CINEMATOGRAPHY","This above All","NO"
"8647","1942","CINEMATOGRAPHY","Arabian Nights","NO"
"8648","1942","CINEMATOGRAPHY","The Black Swan","YES"
"8649","1942","CINEMATOGRAPHY","Captains of the Clouds","NO"
"8650","1942","CINEMATOGRAPHY","Jungle Book","NO"
"8651","1942","CINEMATOGRAPHY","Reap the Wild Wind","NO"
"8652","1942","CINEMATOGRAPHY","To the Shores of Tripoli","NO"
"8653","1942","DIRECTING","Kings Row","NO"
"8654","1942","DIRECTING","Mrs. Miniver","YES"
"8655","1942","DIRECTING","Random Harvest","NO"
"8656","1942","DIRECTING","Wake Island","NO"
"8657","1942","DIRECTING","Yankee Doodle Dandy","NO"
"8683","1942","FILM EDITING","Mrs. Miniver","NO"
"8684","1942","FILM EDITING","The Pride of the Yankees","YES"
"8685","1942","FILM EDITING","The Talk of the Town","NO"
"8686","1942","FILM EDITING","This above All","NO"
"8687","1942","FILM EDITING","Yankee Doodle Dandy","NO"
"8688","1942","Music (Scoring)","Arabian Nights","NO"
"8689","1942","Music (Scoring)","Bambi","NO"
"8690","1942","Music (Scoring)","The Black Swan","NO"
"8691","1942","Music (Scoring)","The Corsican Brothers","NO"
"8692","1942","Music (Scoring)","Flying Tigers","NO"
"8693","1942","Music (Scoring)","The Gold Rush","NO"
"8694","1942","Music (Scoring)","I Married a Witch","NO"
"8695","1942","Music (Scoring)","Joan of Paris","NO"
"8696","1942","Music (Scoring)","Jungle Book","NO"
"8697","1942","Music (Scoring)","Klondike Fury","NO"
"8698","1942","Music (Scoring)","Now, Voyager","YES"
"8699","1942","Music (Scoring)","The Pride of the Yankees","NO"
"8700","1942","Music (Scoring)","Random Harvest","NO"
"8701","1942","Music (Scoring)","The Shanghai Gesture","NO"
"8702","1942","Music (Scoring)","Silver Queen","NO"
"8703","1942","Music (Scoring)","Take a Letter, Darling","NO"
"8704","1942","Music (Scoring)","The Talk of the Town","NO"
"8705","1942","Music (Scoring)","To Be or Not to Be","NO"
"8706","1942","Music (Scoring)","Flying with Music","NO"
"8707","1942","Music (Scoring)","For Me and My Gal","NO"
"8708","1942","Music (Scoring)","Holiday Inn","NO"
"8709","1942","Music (Scoring)","It Started with Eve","NO"
"8710","1942","Music (Scoring)","Johnny Doughboy","NO"
"8711","1942","Music (Scoring)","My Gal Sal","NO"
"8712","1942","Music (Scoring)","Yankee Doodle Dandy","YES"
"8713","1942","Music (Scoring)","You Were Never Lovelier","NO"
"8714","1942","Music (Song)","Always in My Heart","NO"
"8715","1942","Music (Song)","You Were Never Lovelier","NO"
"8716","1942","Music (Song)","Babes on Broadway","NO"
"8717","1942","Music (Song)","Youth on Parade","NO"
"8718","1942","Music (Song)","Orchestra Wives","NO"
"8719","1942","Music (Song)","Bambi","NO"
"8720","1942","Music (Song)","Flying with Music","NO"
"8721","1942","Music (Song)","Hellzapoppin'","NO"
"8722","1942","Music (Song)","The Mayor of 44th Street","NO"
"8723","1942","Music (Song)","Holiday Inn","YES"
"8724","1942","BEST PICTURE","The Invaders","NO"
"8725","1942","BEST PICTURE","Kings Row","NO"
"8726","1942","BEST PICTURE","The Magnificent Ambersons","NO"
"8727","1942","BEST PICTURE","Mrs. Miniver","YES"
"8728","1942","BEST PICTURE","The Pied Piper","NO"
"8729","1942","BEST PICTURE","The Pride of the Yankees","NO"
"8730","1942","BEST PICTURE","Random Harvest","NO"
"8731","1942","BEST PICTURE","The Talk of the Town","NO"
"8732","1942","BEST PICTURE","Wake Island","NO"
"8733","1942","BEST PICTURE","Yankee Doodle Dandy","NO"
"8747","1942","SOUND MIXING","Arabian Nights","NO"
"8748","1942","SOUND MIXING","Bambi","NO"
"8749","1942","SOUND MIXING","Flying Tigers","NO"
"8750","1942","SOUND MIXING","Friendly Enemies","NO"
"8751","1942","SOUND MIXING","The Gold Rush","NO"
"8752","1942","SOUND MIXING","Mrs. Miniver","NO"
"8753","1942","SOUND MIXING","Once upon a Honeymoon","NO"
"8754","1942","SOUND MIXING","The Pride of the Yankees","NO"
"8755","1942","SOUND MIXING","Road to Morocco","NO"
"8756","1942","SOUND MIXING","This above All","NO"
"8757","1942","SOUND MIXING","Yankee Doodle Dandy","YES"
"8758","1942","SOUND MIXING","You Were Never Lovelier","NO"
"8759","1942","Writing","Holiday Inn","NO"
"8760","1942","Writing","The Invaders","YES"
"8761","1942","Writing","The Pride of the Yankees","NO"
"8762","1942","Writing","The Talk of the Town","NO"
"8763","1942","Writing","Yankee Doodle Dandy","NO"
"8764","1942","Writing","One of Our Aircraft Is Missing","NO"
"8765","1942","Writing","Road to Morocco","NO"
"8766","1942","Writing","Wake Island","NO"
"8767","1942","Writing","The War against Mrs. Hadley","NO"
"8768","1942","Writing","Woman of the Year","YES"
"8769","1942","Writing","The Invaders","NO"
"8770","1942","Writing","Mrs. Miniver","YES"
"8771","1942","Writing","The Pride of the Yankees","NO"
"8772","1942","Writing","Random Harvest","NO"
"8773","1942","Writing","The Talk of the Town","NO"
"8792","1941","ACTOR IN A LEADING ROLE","Sergeant York ","YES"
"8793","1941","ACTOR IN A LEADING ROLE","Penny Serenade ","NO"
"8794","1941","ACTOR IN A LEADING ROLE","All That Money Can Buy ","NO"
"8795","1941","ACTOR IN A LEADING ROLE","Here Comes Mr. Jordan ","NO"
"8796","1941","ACTOR IN A LEADING ROLE","Citizen Kane ","NO"
"8797","1941","ACTOR IN A SUPPORTING ROLE","Sergeant York ","NO"
"8798","1941","ACTOR IN A SUPPORTING ROLE","The Devil and Miss Jones ","NO"
"8799","1941","ACTOR IN A SUPPORTING ROLE","How Green Was My Valley ","YES"
"8800","1941","ACTOR IN A SUPPORTING ROLE","Here Comes Mr. Jordan ","NO"
"8801","1941","ACTOR IN A SUPPORTING ROLE","The Maltese Falcon ","NO"
"8802","1941","ACTRESS IN A LEADING ROLE","The Little Foxes ","NO"
"8803","1941","ACTRESS IN A LEADING ROLE","Hold Back the Dawn ","NO"
"8804","1941","ACTRESS IN A LEADING ROLE","Suspicion ","YES"
"8805","1941","ACTRESS IN A LEADING ROLE","Blossoms in the Dust ","NO"
"8806","1941","ACTRESS IN A LEADING ROLE","Ball of Fire ","NO"
"8807","1941","ACTRESS IN A SUPPORTING ROLE","How Green Was My Valley ","NO"
"8808","1941","ACTRESS IN A SUPPORTING ROLE","The Great Lie ","YES"
"8809","1941","ACTRESS IN A SUPPORTING ROLE","The Little Foxes ","NO"
"8810","1941","ACTRESS IN A SUPPORTING ROLE","The Little Foxes ","NO"
"8811","1941","ACTRESS IN A SUPPORTING ROLE","Sergeant York ","NO"
"8812","1941","ART DIRECTION","Citizen Kane","NO"
"8813","1941","ART DIRECTION","The Flame of New Orleans","NO"
"8814","1941","ART DIRECTION","Hold Back the Dawn","NO"
"8815","1941","ART DIRECTION","How Green Was My Valley","YES"
"8816","1941","ART DIRECTION","Ladies in Retirement","NO"
"8817","1941","ART DIRECTION","The Little Foxes","NO"
"8818","1941","ART DIRECTION","Sergeant York","NO"
"8819","1941","ART DIRECTION","Sis Hopkins[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. Nomination withdrawn by Republic Studios.]","NO"
"8820","1941","ART DIRECTION","The Son of Monte Cristo","NO"
"8821","1941","ART DIRECTION","Sundown","NO"
"8822","1941","ART DIRECTION","That Hamilton Woman","NO"
"8823","1941","ART DIRECTION","When Ladies Meet","NO"
"8824","1941","ART DIRECTION","Blood and Sand","NO"
"8825","1941","ART DIRECTION","Blossoms in the Dust","YES"
"8826","1941","ART DIRECTION","Louisiana Purchase","NO"
"8827","1941","CINEMATOGRAPHY","The Chocolate Soldier","NO"
"8828","1941","CINEMATOGRAPHY","Citizen Kane","NO"
"8829","1941","CINEMATOGRAPHY","Dr. Jekyll and Mr. Hyde","NO"
"8830","1941","CINEMATOGRAPHY","Here Comes Mr. Jordan","NO"
"8831","1941","CINEMATOGRAPHY","Hold Back the Dawn","NO"
"8832","1941","CINEMATOGRAPHY","How Green Was My Valley","YES"
"8833","1941","CINEMATOGRAPHY","Sergeant York","NO"
"8834","1941","CINEMATOGRAPHY","Sun Valley Serenade","NO"
"8835","1941","CINEMATOGRAPHY","Sundown","NO"
"8836","1941","CINEMATOGRAPHY","That Hamilton Woman","NO"
"8837","1941","CINEMATOGRAPHY","Aloma of the South Seas","NO"
"8838","1941","CINEMATOGRAPHY","Billy the Kid","NO"
"8839","1941","CINEMATOGRAPHY","Blood and Sand","YES"
"8840","1941","CINEMATOGRAPHY","Blossoms in the Dust","NO"
"8841","1941","CINEMATOGRAPHY","Dive Bomber","NO"
"8842","1941","CINEMATOGRAPHY","Louisiana Purchase","NO"
"8843","1941","DIRECTING","Citizen Kane","NO"
"8844","1941","DIRECTING","Here Comes Mr. Jordan","NO"
"8845","1941","DIRECTING","How Green Was My Valley","YES"
"8846","1941","DIRECTING","The Little Foxes","NO"
"8847","1941","DIRECTING","Sergeant York","NO"
"8861","1941","FILM EDITING","Citizen Kane","NO"
"8862","1941","FILM EDITING","Dr. Jekyll and Mr. Hyde","NO"
"8863","1941","FILM EDITING","How Green Was My Valley","NO"
"8864","1941","FILM EDITING","The Little Foxes","NO"
"8865","1941","FILM EDITING","Sergeant York","YES"
"8866","1941","Music (Scoring)","All That Money Can Buy","YES"
"8867","1941","Music (Scoring)","Back Street","NO"
"8868","1941","Music (Scoring)","Ball of Fire","NO"
"8869","1941","Music (Scoring)","Cheers for Miss Bishop","NO"
"8870","1941","Music (Scoring)","Citizen Kane","NO"
"8871","1941","Music (Scoring)","Dr. Jekyll and Mr. Hyde","NO"
"8872","1941","Music (Scoring)","Hold Back the Dawn","NO"
"8873","1941","Music (Scoring)","How Green Was My Valley","NO"
"8874","1941","Music (Scoring)","King of the Zombies","NO"
"8875","1941","Music (Scoring)","Ladies in Retirement","NO"
"8876","1941","Music (Scoring)","The Little Foxes","NO"
"8877","1941","Music (Scoring)","Lydia","NO"
"8878","1941","Music (Scoring)","Mercy Island","NO"
"8879","1941","Music (Scoring)","Sergeant York","NO"
"8880","1941","Music (Scoring)","So Ends Our Night","NO"
"8881","1941","Music (Scoring)","Sundown","NO"
"8882","1941","Music (Scoring)","Suspicion","NO"
"8883","1941","Music (Scoring)","Tanks a Million","NO"
"8884","1941","Music (Scoring)","That Uncertain Feeling","NO"
